OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,SEX,RACE_ETHNICITY,AGE_CATEGORY,METRIC_NAME,METRIC_VALUE,QUALITY_FLAG,ESTIMATE_TYPE,Shape__Area,Shape__Length
115,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,124,,Final,28221330.1835938,28401.8230651796
116,Central,2013,Planning district,All sexes,All races/ethnicities,All ages,count_births,1516,,Final,28221330.1835938,28401.8230651796
117,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.2767476,,Final,28221330.1835938,28401.8230651796
118,Central,2017,Planning district,Female,All races/ethnicities,15-19,count_teen_births,17,,Final,28221330.1835938,28401.8230651796
119,Central,2011,Planning district,Female,All races/ethnicities,15-19,count_teen_births,29,,Final,28221330.1835938,28401.8230651796
120,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.3877335,,Final,28221330.1835938,28401.8230651796
121,Central,2021,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.03281983,,Final,28221330.1835938,28401.8230651796
122,Central,2022,Planning district,Female,All races/ethnicities,15-19,count_teen_births,-99999,suppressed,Preliminary,28221330.1835938,28401.8230651796
123,Central,2019,Planning district,Female,All races/ethnicities,15-19,count_teen_births,-99999,suppressed,Final,28221330.1835938,28401.8230651796
124,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,100,,Final,28221330.1835938,28401.8230651796
125,Central,2015,Planning district,Female,All races/ethnicities,15-19,count_teen_births,22,,Final,28221330.1835938,28401.8230651796
126,Central,2022,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,6.95067265,,Preliminary,28221330.1835938,28401.8230651796
127,Central,2020,Planning district,Female,All races/ethnicities,15-19,count_teen_births,13,,Final,28221330.1835938,28401.8230651796
128,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,8.54583046,,Final,28221330.1835938,28401.8230651796
129,Central,2011,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,141,,Final,28221330.1835938,28401.8230651796
130,Central,2012,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,100,,Final,28221330.1835938,28401.8230651796
131,Central Northeast,2018,Planning district,All sexes,All races/ethnicities,All ages,count_births,1078,,Final,36161902.3125,33483.0388867772
132,Central Northeast,2020,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,30.87248322,,Final,36161902.3125,33483.0388867772
133,Central Northeast,2014,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,12.52220249,,Final,36161902.3125,33483.0388867772
134,Central Northeast,2013,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.98548094,,Final,36161902.3125,33483.0388867772
135,Central Northeast,2016,Planning district,All sexes,All races/ethnicities,All ages,count_births,1083,,Final,36161902.3125,33483.0388867772
136,Central Northeast,2013,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,8.52994555,,Final,36161902.3125,33483.0388867772
137,Central Northeast,2020,Planning district,Female,All races/ethnicities,15-19,count_teen_births,46,,Final,36161902.3125,33483.0388867772
138,Central Northeast,2016,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,13.83742621,,Final,36161902.3125,33483.0388867772
139,Central Northeast,2021,Planning district,Female,All races/ethnicities,15-19,count_teen_births,37,,Final,36161902.3125,33483.0388867772
140,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,83,,Preliminary,36161902.3125,33483.0388867772
141,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.63569457,,Preliminary,36161902.3125,33483.0388867772
142,Central Northeast,2013,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,88,,Final,36161902.3125,33483.0388867772
143,Central Northeast,2013,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,94,,Final,36161902.3125,33483.0388867772
144,Central Northeast,2012,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,107,,Final,36161902.3125,33483.0388867772
145,Central Northeast,2015,Planning district,All sexes,All races/ethnicities,All ages,count_births,1134,,Final,36161902.3125,33483.0388867772
146,Central Northeast,2014,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,141,,Final,36161902.3125,33483.0388867772
147,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,16.46734131,,Preliminary,36161902.3125,33483.0388867772
148,Central Northeast,2012,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,101,,Final,36161902.3125,33483.0388867772
149,Central Northeast,2022,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,30.20134228,,Preliminary,36161902.3125,33483.0388867772
150,Central Northeast,2012,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,37.08698584,,Final,36161902.3125,33483.0388867772
151,Central Northeast,2013,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,14.08018808,,Final,36161902.3125,33483.0388867772
152,Central Northeast,2023,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,24.83221477,,Preliminary,36161902.3125,33483.0388867772
153,Central Northeast,2012,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.98576512,,Final,36161902.3125,33483.0388867772
154,Central Northeast,2014,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,14.38683464,,Final,36161902.3125,33483.0388867772
155,Central Northeast,2011,Planning district,Female,All races/ethnicities,15-19,count_teen_births,59,,Final,36161902.3125,33483.0388867772
156,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,179,,Preliminary,36161902.3125,33483.0388867772
157,Central Northeast,2022,Planning district,Female,All races/ethnicities,15-19,count_teen_births,45,,Preliminary,36161902.3125,33483.0388867772
158,Central Northeast,2016,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,155,,Final,36161902.3125,33483.0388867772
159,Central Northeast,2021,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,9.78363123,,Final,36161902.3125,33483.0388867772
160,Central Northeast,2014,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,96,,Final,36161902.3125,33483.0388867772
161,Central Northeast,2014,Planning district,All sexes,All races/ethnicities,All ages,count_births,1126,,Final,36161902.3125,33483.0388867772
162,Central Northeast,2011,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,8.58951175,,Final,36161902.3125,33483.0388867772
163,Central Northeast,2020,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,97,,Final,36161902.3125,33483.0388867772
164,Central Northeast,2014,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.52575488,,Final,36161902.3125,33483.0388867772
165,Central Northeast,2011,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,80,,Final,36161902.3125,33483.0388867772
166,Central Northeast,2019,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,25.62373567,,Final,36161902.3125,33483.0388867772
167,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.73967465,,Preliminary,36161902.3125,33483.0388867772
168,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,97,,Preliminary,36161902.3125,33483.0388867772
169,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,8.95660203,,Preliminary,36161902.3125,33483.0388867772
170,Central Northeast,2011,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,95,,Final,36161902.3125,33483.0388867772
171,Central Northeast,2017,Planning district,All sexes,All races/ethnicities,All ages,count_births,1159,,Final,36161902.3125,33483.0388867772
172,Central Northeast,2021,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,104,,Final,36161902.3125,33483.0388867772
173,Central Northeast,2015,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,11.81657848,,Final,36161902.3125,33483.0388867772
174,Central Northeast,2011,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,39.78422117,,Final,36161902.3125,33483.0388867772
175,Central Northeast,2015,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,14.48905016,,Final,36161902.3125,33483.0388867772
176,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,19.75992613,,Preliminary,36161902.3125,33483.0388867772
177,Central Northeast,2018,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,24.275118,,Final,36161902.3125,33483.0388867772
178,Central Northeast,2023,Planning district,Female,All races/ethnicities,15-19,count_teen_births,37,,Preliminary,36161902.3125,33483.0388867772
179,Central Northeast,2020,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,9.1509434,,Final,36161902.3125,33483.0388867772
180,Central Northeast,2011,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,7.23327306,,Final,36161902.3125,33483.0388867772
181,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,count_births,1087,,Preliminary,36161902.3125,33483.0388867772
182,Central Northeast,2021,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.56067733,,Final,36161902.3125,33483.0388867772
183,Central Northeast,2019,Planning district,Female,All races/ethnicities,15-19,count_teen_births,38,,Final,36161902.3125,33483.0388867772
184,Central Northeast,2019,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,9.02837489,,Final,36161902.3125,33483.0388867772
185,Central Northeast,2017,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,14.80847367,,Final,36161902.3125,33483.0388867772
186,Central Northeast,2012,Planning district,All sexes,All races/ethnicities,All ages,count_late_or_no_prenatal_care,78,,Final,36161902.3125,33483.0388867772
187,Central Northeast,2021,Planning district,Female,All races/ethnicities,15-19,teen_births_crude_rate_per_1000,24.83221477,,Final,36161902.3125,33483.0388867772
188,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,percent_low_birthweight_births,8.58725762,,Preliminary,36161902.3125,33483.0388867772
189,Central Northeast,2012,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,9.51957295,,Final,36161902.3125,33483.0388867772
190,Central Northeast,2019,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,14.85958143,,Final,36161902.3125,33483.0388867772
191,Central Northeast,2013,Planning district,All sexes,All races/ethnicities,All ages,count_births,1102,,Final,36161902.3125,33483.0388867772
192,Central Northeast,2023,Planning district,All sexes,All races/ethnicities,All ages,percent_preterm_births,8.92364305,,Preliminary,36161902.3125,33483.0388867772
193,Central Northeast,2019,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,97,,Final,36161902.3125,33483.0388867772
194,Central Northeast,2016,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,14.31209603,,Final,36161902.3125,33483.0388867772
195,Central Northeast,2021,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,91,,Final,36161902.3125,33483.0388867772
196,Central Northeast,2021,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,17.68579492,,Final,36161902.3125,33483.0388867772
197,Central Northeast,2019,Planning district,All sexes,All races/ethnicities,All ages,count_preterm_births,105,,Final,36161902.3125,33483.0388867772
198,Central Northeast,2012,Planning district,All sexes,All races/ethnicities,All ages,percent_late_or_no_prenatal_care,6.93950178,,Final,36161902.3125,33483.0388867772
199,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,count_births,1083,,Preliminary,36161902.3125,33483.0388867772
200,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,crude_birth_rate_per_1000,12.69279452,,Preliminary,36161902.3125,33483.0388867772
201,Central Northeast,2015,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,100,,Final,36161902.3125,33483.0388867772
202,Central Northeast,2022,Planning district,All sexes,All races/ethnicities,All ages,count_low_birthweight_births,93,,Preliminary,36161902.3125,33483.0388867772
